field,answer_gt,answer_extracted,levenshtein,moverscore,levenstein_moverscore
Employee's Usual Work Schedule When Injured Hours Per Week,40,40,1.0,,1.0
Employee's Usual Work Schedule When Injured Days Per Week,5,5,1.0,,1.0
Employer’s Usual Full-Time Schedule for This Type of Work at Time of Employee’s Injury Hours Per Day,8,8,1.0,,1.0
Employer’s Usual Full-Time Schedule for This Type of Work at Time of Employee’s Injury Hours Per Week,40,40,1.0,,1.0
Employer’s Usual Full-Time Schedule for This Type of Work at Time of Employee’s Injury Days Per Week,5,5,1.0,,1.0
Part-Time Employment Information,,Other part-time workers with the same schedule: No. Number of full-time employees doing the same type of work: 4.,0.06837606837606836,,0.06837606837606836
Are there Other Part-Time Workers Doing the Same Work With the Same Schedule?,False,No,0.0,,0.0
"If Yes, how many?",,4,0.0,,0.0
Number of Full-Time Employees Doing The Same Type Of Work:,4,None,0.0,,0.0
Injury Date,2024-06-12,2024-06-12,1.0,,1.0
Time of Injury,11:25 a.m.,11:25 AM,0.6666666666666667,,0.6666666666666667
Last Day Worked,2024-06-12,2024-06-12,1.0,,1.0
Date Employer Notified,2024-06-12,2024-06-12,1.0,,1.0
Date Returned to Work,2024-06-22,2024-06-22,1.0,,1.0
Did Injury Cause Death?,False,No,0.0,,0.0
Date of Death,,N/A,0.2857142857142857,,0.2857142857142857
Was This a Lost Time or Other Compensable Injury?,True,Yes.,0.25,,0.25
Did Injury Occur Because of: Substance Abuse,False,No,0.0,,0.0
Did Injury Occur Because of: Failure to Use Safety Devices,False,No,0.0,,0.0
Did Injury Occur Because of: Failure to Obey Rules,False,No,0.0,,0.0
Was Employee Treated in an Emergency Room?,False,No,0.0,,0.0
Was Employee Hospitalized Overnight as an In-Patient?,False,No,0.0,,0.0
Name and Address of Treating Practitioner and Hospital,"Dr. Adam Smith, AS Clinic, 256 N Waterfall St, Milwaukee, WI 53305. Phone: (414) 555-0153.","Dr. Adam Smith, AS Clinic, 256 N Waterfall St, Milwaukee, WI 53305. Phone: (414) 555-0153.",1.0,,1.0
Case Number from the OSHA Log,2024-117,2024-117,1.0,,1.0
"Injury Description - Describe Activities of Employee When Injury or Illness Occurred and What Tools, Machinery, Objects, Chemicals, Etc. Were Involved.",Employee was injured while lifting boxes using a hand truck when it tipped over.,Employee was injured while lifting boxes using a hand truck when it tipped over.,,0.9905253269263433,0.9905253269263433
What Happened to Cause This Injury or Illness? (Describe How The Injury Occurred),"The hand truck became unbalanced while moving heavy boxes, causing it to tip and strike the employee.","The hand truck became unbalanced while moving heavy boxes, causing it to tip and strike the employee.",,0.9914334489817718,0.9914334489817718
What Was The Injury or Illness? (State the Part of Body Affected and How It Was Affected),The employee sustained a bruise and strain to the lower back and shoulder from the impact of the falling hand truck.,Bruise and strain to the lower back and shoulder from the impact of the falling hand truck.,,0.7232969050379234,0.7232969050379234
Report Prepared By,Michael Gonzales,Michael Gonzales,1.0,,1.0
Work Phone Number,(414) 555-0118,(414) 555-0118,1.0,,1.0
Position,HR Manager,HR Manager,1.0,,1.0
